common_name,scientific_name,species_group,esa_status,foreign_or_domestic,image_url,image_url_full,location,country,food,habitat_requirements,home_range,cause,reproduction,description,status_code
Pedate checker-mallow,Sidalcea pedata,Flowering Plants,Endangered,Domestic,/docs/species_images/doc5710.jpg,https://ecos.fws.gov/docs/species_images/doc5710.jpg,"POLYGON((-117.000880148126 34.1874989206679,-117.000880148126 34.3125154561654,-116.750849075253 34.3125154561654,-116.750849075253 34.1874989206679,-117.000880148126 34.1874989206679))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Pecos assiminea snail,Assiminea pecos,Snails,Endangered,Both Domestic and Foreign,/docs/species_images/doc6332.jpg,https://ecos.fws.gov/docs/species_images/doc6332.jpg,"POLYGON((-105.353923236617 30.052645185329,-105.353923236617 34.0889006658328,-101.768464065269 34.0889006658328,-101.768464065269 30.052645185329,-105.353923236617 30.052645185329))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Pagosa skyrocket,Ipomopsis polyantha,Flowering Plants,Endangered,Domestic,/docs/species_images/doc4183.jpg,https://ecos.fws.gov/docs/species_images/doc4183.jpg,"POLYGON((-107.318103582274 36.9924390774607,-107.318103582274 37.4243388499712,-106.748188133996 37.4243388499712,-106.748188133996 36.9924390774607,-107.318103582274 36.9924390774607))",United States,No information available,"Pagosa skyrocket is limited soils derived from Mancos Shale.  The soil pH is nearly neutral to slightly alkaline (6.6 to 8.4).  The elevation range is 6,750 to 7,775 feet (ft) (2,050 to 2,370 meters (m)).  Plants occur in discontinuous colonies as a pioneer species on open shale or as a climax species along the edge of Pinus ponderosa (Ponderosa pine), mixed P. ponderosa and Juniperus scopulorum (Rocky mountain juniper), or Juniperus. osteosperma (Utah juniper) and Quercus gambellii (Gambel oak) forested areas.  Now the species is found mostly on sites that are infrequently disturbed by grazing, such as road right-of-ways (ROWs) that are fenced from grazing (as opposed to open range), lightly grazed pastures, and undeveloped lots.","The two known occurrences of Pagosa skyrocket are within about 13 miles (mi) (21 kilometers (km)) of each other, and collectively occupy about 388.4 acres (ac) (157.1 hectares (ha)) of habitat within a range that includes about 6.5 square mi (16.8 square km).  The Pagosa Springs occurrence is southeast of the Town of Pagosa Springs along both sides of U.S. 84.  Occupied habitat extends southward on the highway ROW for 3 mi (4.8 km) from the intersection with U.S. 160, and on private lands on both sides of the highway.  The Dyke occurrence is about 10 mi (16 km) west of Pagosa Springs along U.S. Highway 160.  It includes 0.5 mi (0.8 km) of highway ROW on both sides of U.S. 160, adjacent private land, and a BLM parcel.",No information available,"Pollination by bees is the most common means of reproduction for Pagosa skyrocket, and the primary pollinators are the honey bee (Apis mellifera), metallic green bee (Augochlorella spp.), bumble bee (Bombus spp.), and digger bee (Anthophora spp.).","Pagosa skyrocket is a non-woody (herbaceous) plant species in the phlox family. It grows 12 to 24 inches tall from a rosette of finely dissected leaves. Clusters of white or light pink flowers, often flecked with purple or pink spots, run along the stems. Pagosa skyrocket can be seen in bloom in June and July. The plant grows as a rosette for one to many years until conditions are right to flower and reproduce. Pagosa skyrocket is only found in two populations in and near the town of Pagosa Springs at an elevation of 6,800 to 7,300 ft. The plant can be found on gray soils derived from Mancos Shale in open grasslands and grassland understories at the edges of open forests. The species has adapted to grow on these shale soils, which are very dry and erosive, making the conditions harsh and difficult for most other plant species to survive. Due to development impacts, remaining Pagosa skyrocket habitat is often found adjacent to roads, in dry ditches, among buildings, and in some pastures. The primary threat to Pagosa skyrocket is land use changes including commercial, residential, municipal, and agricultural property development, and associated utility installations and access roads. In addition, nonnative invasive plants (weeds), concentrated livestock use, and the potential effects of climate change may impact the species. Because of its extremely limited distribution, the species is vulnerable to habitat modification and changes in the environment. Pagosa skyrocket also relies on insect pollinators to reproduce. The loss of pollinators and pollinator habitat is considered a threat to this species.",200
Paiute cutthroat trout,Oncorhynchus clarkii seleniris,Fishes,Threatened,Domestic,/docs/species_images/doc2486.jpg,https://ecos.fws.gov/docs/species_images/doc2486.jpg,"POLYGON((-127.270456685328 33.213838463974,-127.270456685328 38.9333399990642,-118.0795325332 38.9333399990642,-118.0795325332 33.213838463974,-127.270456685328 33.213838463974))",United States,"Paiute cutthroat trout, like other inland trout, are opportunistic feeders, utilizing whatever aquatic and terrestrial invertebrates occur in the drift (Wong 1975, Behnke 1987, Dunham et al. 2000, Allan et al. 2003, Hilderbrand and Kershner 2004, Saunders and Fausch 2007). Behnke (1987) goes on to say that, food requirements are not a limitation factor for the preservation of Paiute cutthroat trout or for their successful establishment in a new environment.  This opportunistic behavior is demonstrated by the fact that Paiute cutthroat trout populations, outside their historical range, survive on prey resources that are present in streams and riparian areas.","Paiute cutthroat trout habitat requirements appear to be similar to those reported for other western stream-dwelling salmonids (Hickman and Raleigh 1982).  All life stages require cool, well-oxygenated waters.  Adult fish prefer stream pool habitat in low gradient meadows with undercut or overhanging banks and abundant riparian vegetation (Behnke and Zarn 1976).  Pools are important rearing habitat for juveniles and act as refuge areas during winter (Hickman and Raleigh 1982; Swales et al. 1986; Berg 1994).  During the winter months, trout move into pools to avoid physical damage from ice scouring (Scrimgeour et al. 1994) and to conserve energy (Everest and Chapman 1972; Cunjak 1996).  As with other salmonids, suitable winter habitat may be more restrictive than summer habitat (Jakober et al. 1998).  Paiute cutthroat trout survive in lakes, but there is no evidence that they ever occurred naturally in any lakes within the Silver King basin. Paiute cutthroat trout demonstrate fluvial spawning behavior and must have access to flowing waters with clean gravel substrates.","The Paiute cutthroat trout is known from drainages in the Sierra Nevada range in east-central California.  The presumed historic distribution was limited to 14.7 kilometers (km) [9.1 miles (mi)] of habitat in Silver King Creek (Alpine County) from Llewellyn Falls downstream to barriers in Silver King Canyon as well as the accessible reaches of three small named tributaries: Tamarack Creek, Tamarack Lake Creek, and the lower reaches of Coyote Valley Creek downstream of barrier falls (Figure 1) (Service 2004).  Paiute cutthroat trout now occupy approximately 33.2 km (20.6 mi) of habitat in five widely distributed drainages outside of their historic range.  Paiute cutthroat trout currently do not occupy any habitat within their historical range.  ",No information available,"Paiute cutthroat trout reach sexual maturity at the age of 2 years. Peak spawning activity occurs in June and July (Wong 1975). The eggs hatch in 6 to 8 weeks and the fry emerge from the gravel in another two to three weeks. Young-of-the-year fish rear in mainstem shoals or backwaters, and often move into intermittent tributary streams until they reach about 50 mm in length (Diana and Lane 1978)","The Paiute cutthroat trout is a distinctive member of the cutthroat trout complex, distinguishable from other cutthroat trouts by body coloration and the absence, or near absence, of body spots.  Snyder (1933, 1934) described these fish as a new species, (Salmo seleniris), based on: 1) absence of body spots; 2) slender body form; 3) relatively small scales; and 4) vivid coloration. Subsequent comparisons of the type specimens with other cutthroat subspecies (Ryan and Nicola 1976, Behnke 1980) revealed that the meristic and morphometric characters for Paiute cutthroat trout are also typical of those characterizing Lahontan cutthroat trout.  Behnke and Zarn (1976) concluded, on the basis of gillraker comparisons, that the separation of Paiute cutthroat from Lahontan cutthroat occurred relatively recently, (no more than 5,000 to 8,000 years ago), following the desiccation of Lake Lahontan.  Paiute cutthroat trout and Lahontan cutthroat trout both typically possess 150-180 lateral series scales, 60-63 total vertebrae, 50-70 pyloric caeca, and 21-27 gill rakers.  ",200
Pallid sturgeon,Scaphirhynchus albus,Fishes,Endangered,Domestic,/docs/species_images/doc4937.jpg,https://ecos.fws.gov/docs/species_images/doc4937.jpg,"POLYGON((-111.060839006077 29.1498133135945,-111.060839006077 48.3808372420012,-89.0928125854724 48.3808372420012,-89.0928125854724 29.1498133135945,-111.060839006077 29.1498133135945))",United States,"Data on food habits of age-0 pallid sturgeon are limited.  In a hatchery environment, exogenously feeding fry (fry that have absorbed their yolk and are actively feeding) will readily consume brine shrimp suggesting zooplankton and/or small invertebrates are likely the food base for this age group.  Data available for age-0 Scaphirhynchus indicate mayflies (Ephemeroptera) and midge (Chironomidae) larvae are important (Sechler et al. 2012).

Juvenile and adult pallid sturgeon diets are generally composed of fish and aquatic insect larvae with a trend toward piscivory as they increase in size (Carlson and Pflieger 1981; Hoover et al. 2007; Gerrity et al. 2006; Grohs et al. 2009; Wanner 2006; French 2010).   

Based on the above diet data and habitat utilization by prey items, it appears that pallid sturgeon will feed over a variety of substrates (Hoover et al. 2007; Keevin et al. 2007).  However, the abundance of Trichoptera in the diet suggests that harder substrates like gravel and rock material may be important feeding areas (Hoover et al. 2007). 
","Pallid sturgeon are a bottom-oriented, large river obligate fish inhabiting the Missouri and Mississippi rivers and some tributaries from Montana to Louisiana (Kallemeyn 1983).  Pallid sturgeon evolved in the diverse environments of the Missouri and Mississippi river systems.  Floodplains, backwaters, chutes, sloughs, islands, sandbars, and main channel waters formed the large-river ecosystem that met the habitat and life history requirements of pallid sturgeon and other native large-river fishes.  

Substrate
Pallid sturgeon have been documented over a variety of available substrates, but are often associated with sandy and fine bottom materials (Bramblett and White 2001; Elliott et al. 2004; Gerrity 2005; Snook et al. 2002; Swigle 2003; Peters and Parham 2008; Spindler 2008).  Substrate association appears to be seasonal (Kochet al. 2006a; Koch et al. 2012).  During winter and spring, a mixture of sand, gravel and rock substrates are used and during the summer and fall, sand substrate is most often used (Koch et al. 2006a).  In the middle Mississippi River, pallid sturgeon transition from predominantly sandy substrates to gravel during May which may be associated with spawning (Koch et al. 2012).  In these river systems and others, pallid sturgeon appear to use underwater sand dunes (Bramblett 1996; Constant et al. 1997; Snook et al. 2002; Elliott et al. 2004; Jordan et al. 2006).  

Depths and Velocity
Across their range, pallid sturgeon have been documented in waters of varying depths and velocities.  Depths at collection sites range from 0.58 meter (m) to > 20 m (1.9 to > 65 feet (ft)), though there may be selection for areas at least 0.8 m (2.6 ft) deep (Bramblett and White 2001; Carlson and Pflieger 1981; Constant et al. 1997; Erickson 1992; Gerrity 2005; Jordan et al. 2006; Peters and Parham 2008; Wanner et al. 2007).  Despite the wide range of depths associated with capture locations, one commonality is apparent: this species is typically found in areas where relative depths (the depth at the fish location divided by the maximum channel cross section depth expressed as a percent) exceed 75% (Constant et al. 1997; Gerrity 2005; Jordan et al. 2006; Wanner et al. 2007).

Bottom water velocities associated with collection locations are generally < 1.5 m/s (4.9 ft/s) with reported averages ranging from 0.58 m/s to 0.88 m/s (1.9 ft/s to 2.9 ft/s) (Carlson and Pflieger 1981; Elliott et al. 2004; Erickson 1992; Jordan et al. 2006; Swigle 2003; Snook et al. 2002). 
",No information available,No information available,"Pallid sturgeon can be long-lived, with females reaching sexual maturity later than males (Keenlyne and Jenkins 1993).  Based on wild fish, estimated age at first reproduction was 15 to 20 years for females and approximately 5 years for males (Keenlyne and Jenkins 1993).  Like most fish species, water temperatures influence growth and maturity. Female hatchery-reared pallid sturgeon maintained in an artificially controlled environment (i.e., near constant 16 to 20oC temperatures) can attain sexual maturity at age 6, whereas female pallid sturgeon subject to colder winter water temperatures reached maturity around age 9 (Webb in litt., 2011). Thus, age at first reproduction likely is variable and dependent on local conditions.  

Females do not spawn each year (Kallemeyn 1983).  Observations of wild pallid sturgeon collected as part of the conservation stocking program in the northern part of the range indicates that female spawning periodicity is 2-3 years (Rob Holm, USFWS Garrison Dam Hatchery, unpublished data).  

Fecundity is related to body size. The largest upper Missouri River fish can produce as many as 150,000-170,000 eggs (Keenlyne et al. 1992; Rob Holm, USFWS Garrison Dam Hatchery, unpublished data), whereas smaller bodied females in the southern extent of the range may only produce 43,000-58,000 eggs (George et al. 2012).  Spawning appears to occur between March and July, with lower latitude fish spawning earlier than those in the northern portion of the range.  Adult pallid sturgeon can move long distances upstream prior to spawning, and females likely are spawning at or near the apex of these movements (Bramblett and White 2001; DeLonay et al. 2009).  This behavior can be associated with spawning migrations (U.S. Geological Survey (USGS) 2007; DeLonay et al. 2009).  Spawning appears to occur over firm substrates, in deeper water, with relatively fast, turbulent flows, and is driven by several environmental stimuli including flow, water temperature, and day length (USGS 2007; DeLonay et al. 2009).  

Incubation rates are governed by and depend upon water temperature.  In a hatchery environment, fertilized eggs hatch in approximately 5-7 days (Keenlyne 1995).  Incubation rates may deviate slightly from this in the wild.  Newly hatched larvae are predominantly pelagic, drifting in the currents for 11 to 13 days and dispersing several hundred km downstream from spawn and hatch locations (Kynard et al. 2002, 2007; Braaten et al. 2008, 2010, 2012a).  ","The pallid sturgeon was first recognized as a species different from shovelnose sturgeon by S. A. Forbes and R. E. Richardson in 1905 based on a study of nine specimens collected from the Mississippi River near Grafton, Illinois (Forbes and Richardson 1905). They named this new species Parascaphirhynchus albus.  Later reclassification assigned it to the genus Scaphirhynchus where it has remained (Bailey and Cross 1954; Campton et al. 2000).

Pallid sturgeon have a flattened shovel-shaped snout; a long, slender, and completely armored caudal peduncle (the tapered portion of the body which terminates at the tail); and lack a spiracle (small openings found on each side of the head) (Forbes and Richardson 1905).  As with other sturgeon, the mouth is toothless, protrusible (capable of being extended and withdrawn from its natural position), and ventrally positioned under the head.  The skeletal structure is primarily composed of cartilage rather than bone. ",200
Palma de manaca,Calyptronoma rivalis,Flowering Plants,Threatened,Domestic,/docs/species_images/doc4808.jpg,https://ecos.fws.gov/docs/species_images/doc4808.jpg,"POLYGON((-67.1032849192587 18.1504497054365,-67.1032849192587 18.5160248668666,-66.5666546668402 18.5160248668666,-66.5666546668402 18.1504497054365,-67.1032849192587 18.1504497054365))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Palo de nigua,Cornutia obovata,Flowering Plants,Endangered,Domestic,/docs/species_images/doc4493.bmp,https://ecos.fws.gov/docs/species_images/doc4493.bmp,"POLYGON((-66.9851849887359 17.8812303342594,-66.9851849887359 18.4947544927074,-65.9916596801488 18.4947544927074,-65.9916596801488 17.8812303342594,-66.9851849887359 17.8812303342594))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Palo de ramon,Banara vanderbiltii,Flowering Plants,Endangered,Domestic,/docs/species_images/doc6053.jpg,https://ecos.fws.gov/docs/species_images/doc6053.jpg,"POLYGON((-67.1032849192587 17.9130054912993,-67.1032849192587 18.5160248668666,-65.9916546835847 18.5160248668666,-65.9916546835847 17.9130054912993,-67.1032849192587 17.9130054912993))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Palos Verdes blue butterfly,Glaucopsyche lygdamus palosverdesensis,Insects,Endangered,Domestic,/docs/species_images/doc4895.jpg,https://ecos.fws.gov/docs/species_images/doc4895.jpg,"POLYGON((-118.944699804931 33.7045857863055,-118.944699804931 34.8178799999591,-118.079520000011 34.8178799999591,-118.079520000011 33.7045857863055,-118.944699804931 33.7045857863055))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Panama City crayfish,Procambarus econfinae,Crustaceans,Threatened,Domestic,/docs/species_images/doc5802.jpg,https://ecos.fws.gov/docs/species_images/doc5802.jpg,"POLYGON((-85.9999476393959 29.9010763335597,-85.9999476393959 30.567643333109,-85.3839117016407 30.567643333109,-85.3839117016407 29.9010763335597,-85.9999476393959 29.9010763335597))",United States,No information available,No information available,No information available,No information available,No information available,No information available,200
Parachute beardtongue,Penstemon debilis,Flowering Plants,Threatened,Domestic,/docs/species_images/doc2013.JPG,https://ecos.fws.gov/docs/species_images/doc2013.JPG,"POLYGON((-109.057836296871 39.0002293530851,-109.057836296871 40.2340516651331,-107.657563190704 40.2340516651331,-107.657563190704 39.0002293530851,-109.057836296871 39.0002293530851))",United States,No information available,"Parachute beardtongue seems to be adapted to natural physical disturbance .  Many of the characteristics that are most similar among sites promote continual shifting of the substrate:  steep slopes, unstable surface layers of broken shale rubble, and no surface soil.  The plants grow on steep, oil shale outcrop slopes of white shale talus at 8,000 to 9,000 ft (2,400 to 2,700 m) in elevation on the southern escarpment of the Roan Plateau above the Colorado River and the town of Parachute, Colorado.  The Roan Plateau falls into the geologic structural basin known as the Piceance Basin.  Average annual precipitation at Parachute, Colorado, is 12.75 in (32.4 cm), which is considered a high desert climate. Parachute beardtongue is found only on the Parachute Creek Member of the Green River Formation.  Parachute beardtongue is often found growing with other species endemic to the Green River formation, including Mentzelia rhizomata (Roan Cliffs blazingstar), Astragalus lutosus (dragon milkvetch), Festuca dasyclada (Utah fescue), and Thalictrum heliophilum (sun-loving meadowrue), as well as several non-endemics.","The historical range and distribution for this species is unknown.  All of the currently known occurrences occupy about 91.8 ac (37.2 ha) on the Green River geologic formation in Garfield County, Colorado.  Although this formation is underground throughout most of the Piceance Basin, it is exposed on much of the southern face of the Roan Plateau, to which the plant is restricted.  The total area of the plants geographic range is about 2 mi (3 km) wide and 17 mi (27 km) long.  Six occurrences of Parachute beardtongue were found between 1986 and 2005; two of them are no longer viable.  It is likely that unknown occurrences exist, because many areas are inaccessible to surveyors due to cliff-side terrain or private land ownership or both.  ",No information available,"Parachute beardtongue plants require cross pollination, and have many different pollinators that vary between occurrences.  None of the pollinators are specialists to Parachute beardtongue, nor are any of them rare.  ","Parachute beardtongue was discovered in 1986, and was first described by OKane and Anderson in 1987.  Parachute beardtongue is a mat-forming perennial herb with thick, succulent, bluish leaves, each about 0.8 in. (2 cm) long and 0.4 in. (1 cm) wide.  Plants produce shoots that run along underground, forming what appear as new plants at short distances away.  Individual Parachute beardtongue plants are able to survive on the steep, unstable, shale slopes by responding with stem elongation as leaves are buried by the shifting talus.  Buried stems progressively elongate down slope from the initial point of rooting to a surface sufficiently stable to allow the development of a tuft of leaves and flowers.  The funnel-shaped flowers are white to pale lavender, and bloom during June and July.  Parachute beardtongue plants produce a small number of seeds that are dispersed by gravity.  

The species is threatened primarily by oil and gas development and small population sizes.",200
Pawnee montane skipper,Hesperia leonardus montana,Insects,Threatened,Domestic,/docs/species_images/doc4425.jpg,https://ecos.fws.gov/docs/species_images/doc4425.jpg,"POLYGON((-105.437508999579 38.9374909996723,-105.437508999579 39.5000100003007,-104.9999899996 39.5000100003007,-104.9999899996 38.9374909996723,-105.437508999579 38.9374909996723))",United States,"Although prairie gayfeather is the most important nectar source for the species, other plants have also been noted as nectar sources.  The musk thistle (Carduus nutans) is important along river bottoms and up some ravines.  Female skippers have been observed in large numbers on musk thistle along the South Platte River canyon bottom.  ","Skippers occur in dry, open, ponderosa pine woodlands on moderately steep slopes with soils derived from Pikes Peak granite.  The understory is very sparse in the pine woodlands.  Blue grama grass, the larval food plant, and prairie gayfeather, the primary nectar plant, are two necessary components of the groundcover strata.  Small clumps of blue grama occur throughout the hot, open slopes inhabited by skippers.  Prairie gayfeather occurs throughout the ponderosa pine woodlands.  Skippers are very uncommon in pine woodlands with a tall shrub understory or where young conifers dominate the understory.

A quantitative estimate of optimum skipper habitat characteristics includes: tree canopy cover of 30 percent with ponderosa pine cover of 25 percent and Douglas-fir of 5 percent; tree density of less than 120 trees/acre in the smallest size class (0-5 inches diameter breast high) and overall tree density of less than 200 trees/acre; shrub and grass cover generally less than 10 percent; prairie gayfeather flowering stem density ranging from 50 to 500 flowering stems/acre; and blue grama canopy cover of 1 to 5 percent.  The limiting habitat endpoints for the skipper seem to be treeless areas of 5 acres or more at one extreme to woodlands with understory shrub cover of 25 percent or more at the other extreme.  The skipper is largely absent from steep, north-facing Douglas-fir stands where neither prairie gayfeather nor blue grama are plentiful.

Prairie gayfeather seems to require openings from single event disturbance such as logging or fire-created habitat, but does not tolerate continuous disturbance.  However, it appears that the skipper does not colonize such areas for at least several years after disturbance and regeneration.  Burnt or logged areas surveyed in 1986 had low numbers of skippers.
","
The skipper has a restricted range, occupying an area (though not necessarily all the available habitat within it) roughly 23 miles long and 5 miles wide.  It occurs along the mainstem of the South Platte River for approximately 20 miles and the North Fork of the South Platte River for approximately 15 miles upstream from their confluence with Cheesman Reservoir and Crossons, respectively.  Currently, the skippers habitat forms one continuous band along the North and South Forks of the South Platte River and includes two of their tributaries, Buffalo and Horse creeks, respectively.  This type of habitat configuration allows for an interchange of individuals throughout the habitat.

The plant community preferred by the skipper is the northern-most extension of the ponderosa pine/blue grama grass habitat type documented from southern Colorado and northern New Mexico.  However, the preferred nectar plant of the skipper, prairie gayfeather does not occur in similar habitats to the south.  The northeastern limits of the ponderosa pine/blue grama grass community overlapping with the southwestern limit of the prairie gayfeather may contribute to the maintenance of the species in this limited area.
The elevational range of the species is 6,000 to 7,500 feet.  Studies in 1985 showed that the ratio of males to female skippers was much greater at higher elevations than at lower elevations (32 males/7 females above 7,100 feet and 34 males/20 females below 7,100 feet).
","There are two other subspecies of this group:  Hesperia leonardus leonardus occurs in the eastern United States and Canada, and Hesperia leonardus pawnee occurs on the Northern Great Plains.  The presence of ventral hind wing spots and its darker color differentiates Hesperia leonardus montana from Hesperia leonardus pawnee.

Since modern settlement of Colorado, the Platte River Canyon has experienced a number of habitat changes that likely have resulted in loss, modification, and curtailment of former skipper habitat and range.  Habitat loss likely has occurred as a result of fire suppression over the last 120 years.  The encroachment of conifers and the subsequent loss of grasses and prairie gayfeather have reduced the quality and quantity of skipper habitat.  Causes of lost habitat include Cheesman Reservoir, catastrophic fire, residential development, roads, and planted and mowed pastures.  Invasion of noxious weeds, such as knapweed, which may outcompete blue grama and prairie gayfeather are also a serious threat to the skipper. 
","Pawnee montane skippers emerge as adult butterflies as early as late July.  Males emerge before females by an average of a week to 10 days.  The adults spend most of their short existence feeding and mating.  Adult females directly deposit eggs singly on leaves of blue grama grass (Bouteloua gracilis), the larval food plant.  The species overwinters as larvae, and little is known of the larval and pupal stages.  Pupation is generally short (13-23 days), as in most butterflies.  The species completes its life cycle (egg to larva to pupa to adult butterfly to egg) annually.  Adults probably fly until a major killing frost occurs.  Additionally, the phenology of prairie gayfeather (Liatris punctata), the primary nectar plant, and the presence of the skipper are highly synchronous. ","The skipper, a member of the Hesperidae butterfly family, was first described in 1911 as Pamphila (Hesperia) pawnee montana.  In 1982, two species (Hesperia pawnee and Hesperia leonardus) were combined, retaining the specific name leonardus, and treating the Pawnee montane skipper as Hesperia leonardus montana.  The subspecies occurs only in the South Platte Canyon River drainage system in Colorado, in portions of Jefferson, Douglas, Teller, and Park Counties.

The Pawnee montane skipper is a small, brownish-yellow butterfly with a wing span slightly over 1 inch.  Small, fulvous (dull brownish-yellow), usually distinct spots occur near the outer margins of the upper surface of the wings, while one to four distinct brownish to off-white spots occur on the lower (ventral) surface of the wings.  The ventral spots are larger on the hind wing and are generally whiter on the female butterfly.
",200
